START OF FILE
2026-03-22 19:18:02 19:18:03 19:18:04 | subject: yes | work: 1 | rest: 1
2026-03-22 18:39:17 2026-03-22 19:39:19 | subject: Placeholder | work: 50m | rest: 10m
2026-03-22 20:19:02 2026-03-22 21:19:04 | subject: Placeholder | work: 50m | rest: 10m
2026-03-28 16:34:30 17:24:31 17:24:38 | subject: Placeholder | work: 50m | rest: 10m
2026-03-31 10:44:57 11:34:58 11:44:58 | subject: Placeholder | work: 50m | rest: 10m
2026-03-31 14:37:14 15:07:15 15:37:16 | subject: python | work: 30m | rest: 30m
2026-03-31 17:51:43 18:41:44 18:51:44 | subject: Placeholder | work: 50m | rest: 10m
2026-04-16 23:11:56 00:01:58 00:04:19 | subject: Placeholder | work: 50m | rest: 10m
2026-04-17 00:04:21 00:54:23 01:04:23 | subject: Placeholder | work: 50m | rest: 10m
2026-04-17 11:12:22 12:02:23 12:12:24 | subject: Placeholder | work: 50m | rest: 10m
2026-04-17 12:35:59 13:26:01 13:36:01 | subject: Placeholder | work: 50m | rest: 10m
2026-04-20 09:06:59 09:31:39 09:41:39 | subject: Placeholder | work: 50m | rest: 10m
2026-04-20 09:58:41 10:48:42 10:58:43 | subject: Placeholder | work: 50m | rest: 10m
2026-04-20 16:26:44 17:16:46 17:26:46 | subject: Placeholder | work: 50m | rest: 10m
2026-04-21 10:04:39 10:54:41 11:04:41 | subject: Placeholder | work: 50m | rest: 10m
2026-04-21 11:04:49 11:41:02 11:51:03 | subject: maths | work: 50m | rest: 10m
2026-04-21 11:51:40 12:41:41 12:51:42 | subject: moremaths | work: 50m | rest: 10m
2026-04-21 12:52:10 13:15:38 13:25:38 | subject: mathsbaby | work: 50m | rest: 10m
2026-04-21 13:37:49 14:27:50 14:27:54 | subject: physics | work: 50m | rest: 10m
2026-04-21 14:27:55 15:17:56 15:24:11 | subject: physics | work: 50m | rest: 10m
2026-04-21 15:24:17 15:24:17 15:32:16 | subject: actualbreak | work: 50m | rest: 10m
2026-04-21 15:32:21 15:33:17 15:33:17 | subject: physicsagain | work: 50m | rest: 10m
2026-04-21 15:49:54  15:49:54 | subject: eating | work: break | rest: 1m
2026-04-21 15:49:58 15:49:59 16:08:29 | subject: eatingbreak | work: 1m | rest: 30m
2026-04-21 16:10:22 16:10:22 16:40:23 | subject: moreeatinglol | work: 0 | rest: 30m
2026-04-21 16:49:19 17:39:20 17:42:40 | subject: Placeholder | work: 50m | rest: 10m
2026-04-21 17:42:46 18:02:47 18:12:47 | subject: sneaky | work: 20m | rest: 10m
2026-04-27 11:11:13 11:55:59 12:05:59 | subject: physics | work: 50m | rest: 10m
2026-04-27 12:06:13 12:06:13 12:15:12 | subject: 10minbreakpls | work: 50m | rest: 10m
2026-04-27 12:15:14 12:15:17 12:15:17 | subject: 10minbreakpls | work: 50m | rest: 10m
2026-04-27 13:40:32 13:40:32 13:40:33 | subject: Placeholder | work: 50m | rest: 10m
2026-04-27 13:40:35 14:30:37 14:40:37 | subject: Placeholder | work: 50m | rest: 10m
2026-04-27 14:40:42 15:30:44 15:40:44 | subject: Placeholder | work: 50m | rest: 10m
2026-04-27 15:40:57 15:56:47 15:57:21 | subject: physics | work: 50m | rest: 10m
2026-04-27 15:57:22 16:47:24 16:57:25 | subject: physics | work: 50m | rest: 10m
2026-04-27 16:57:35 17:47:37 17:49:23 | subject: Placeholder | work: 50m | rest: 10m
2026-04-27 17:49:24 18:39:25 18:49:26 | subject: Placeholder | work: 50m | rest: 10m
2026-04-28 13:21:05 13:21:06 13:57:33 | subject: eating | work: 1m | rest: 40m
2026-04-28 14:03:38 14:53:40 15:02:48 | subject: engineering | work: 50m | rest: 10m
2026-04-28 15:02:54 15:52:55 16:02:55 | subject: engi | work: 50m | rest: 10m
2026-04-29 11:51:57 11:51:58 12:06:58 | subject: break | work: 1m | rest: 15m
2026-04-29 12:17:16 12:42:17 12:44:32 | subject: short | work: 25m | rest: 5m
2026-04-30 13:07:22 13:07:23 13:17:23 | subject: break | work: 50m | rest: 10m
2026-05-02 10:23:29 10:23:31 10:23:32 | subject: Placeholder | work: 50m | rest: 10m
2026-05-02 10:23:35 10:23:36 10:23:36 | subject: science | work: 50m | rest: 10m
2026-05-02 10:23:39 11:00:08 11:03:24 | subject: maths | work: 50m | rest: 10m
2026-05-02 11:03:26 11:25:50 11:35:50 | subject: maths | work: 50m | rest: 10m
2026-05-04 09:14:19 10:04:21 10:14:21 | subject: Placeholder | work: 50m | rest: 10m
2026-05-04 10:18:59 11:09:00 11:19:01 | subject: mathstest | work: 50m | rest: 10m
2026-05-05 09:37:33 09:37:37 09:37:37 | subject: anki | work: 50m | rest: 10m
2026-05-05 09:37:41 10:02:27 10:07:27 | subject: anki | work: 25m | rest: 5m
2026-05-05 10:09:33 10:44:10 10:54:11 | subject: mathstest | work: 50m | rest: 10m
2026-05-05 10:54:17 11:39:13 11:39:14 | subject: phyiscs | work: 50m | rest: 10m
2026-05-07 11:06:06 11:07:50 11:17:51 | subject: break | work: 50m | rest: 10m
2026-05-07 11:22:33 12:12:35 12:22:35 | subject: comp | work: 50m | rest: 10m
2026-05-07 12:22:46 13:12:48 13:12:51 | subject: comp | work: 50m | rest: 10m
2026-05-07 13:12:55 14:02:56 14:12:57 | subject: fuckcomp | work: 50m | rest: 10m
2026-05-09 20:20:14 21:10:15 21:10:19 | subject: comp | work: 50m | rest: 10m
2026-05-09 21:10:20 21:29:57 21:33:20 | subject: comp | work: 50m | rest: 10m
2026-05-09 21:33:21 22:23:22 22:23:28 | subject: comp | work: 50m | rest: 10m
2026-05-09 22:23:29 23:08:15 23:08:15 | subject: comp | work: 50m | rest: 10m
2026-05-11 09:13:41 09:58:55 10:08:55 | subject: maths | work: 50m | rest: 10m
2026-05-11 10:18:40 10:33:04 10:33:05 | subject: engn | work: 50m | rest: 10m
2026-05-11 10:33:07 11:23:08 11:33:09 | subject: comp | work: 50m | rest: 10m
2026-05-12 12:42:43 13:32:44 13:33:21 | subject: comp | work: 50m | rest: 10m
2026-05-12 13:33:24 14:13:28 14:13:28 | subject: Placeholder | work: 50m | rest: 10m
2026-05-12 14:13:29 14:39:34 14:49:34 | subject: Placeholder | work: 50m | rest: 10m
2026-05-12 14:49:39 15:39:40 15:49:41 | subject: Placeholder | work: 50m | rest: 10m
2026-05-12 16:15:00 17:05:02 17:15:02 | subject: maths | work: 50m | rest: 10m
2026-05-12 17:15:10 18:05:11 18:05:29 | subject: maths | work: 50m | rest: 10m
2026-05-12 18:05:32 18:55:33 18:55:43 | subject: physics | work: 50m | rest: 10m
2026-05-24 13:01:10 13:51:12 14:01:12 | subject: maths | work: 50m | rest: 10m
2026-05-24 18:21:31 19:11:33 19:21:33 | subject: maths | work: 50m | rest: 10m
2026-05-25 12:02:35 12:07:59 12:18:00 | subject: computer | work: 50m | rest: 10m
2026-05-25 12:18:06 12:18:07 12:18:07 | subject: Placeholder | work: 50m | rest: 10m
2026-05-25 12:18:10 12:18:11 12:18:11 | subject: Placeholder | work: 50m | rest: 10m
2026-05-25 12:18:36 13:14:49 13:22:31 | subject: comp | work: 50m | rest: 10m
2026-05-26 10:45:48 11:35:50 11:42:09 | subject: comp | work: 50m | rest: 10m
2026-05-26 11:42:15 12:32:16 12:42:16 | subject: physics | work: 50m | rest: 10m
2026-05-26 12:45:17 13:35:19 13:45:19 | subject: calculus | work: 50m | rest: 10m
2026-05-26 13:58:49 13:58:49 13:58:51 | subject: break | work: 0 | rest: 5m
2026-05-26 13:58:56 13:58:57 14:48:58 | subject: break | work: 1s | rest: 50m
2026-05-26 14:55:12 15:45:13 15:55:13 | subject: Placeholder | work: 50m | rest: 10m
2026-05-26 16:03:02 16:47:38 16:47:39 | subject: Placeholder | work: 50m | rest: 10m
2026-05-26 16:54:44 17:09:23 17:19:23 | subject: Placeholder | work: 50m | rest: 10m
2026-05-26 17:19:45 17:19:51 17:19:52 | subject: 1s | work: 30m | rest: 10m
2026-05-27 09:54:59 09:55:00 10:05:00 | subject: 10mb | work: 50m | rest: 10m
2026-05-27 10:15:09 10:57:00 11:07:00 | subject: Placeholder | work: 50m | rest: 10m
2026-05-27 11:10:34 12:00:36 12:07:28 | subject: engn | work: 50m | rest: 10m
2026-05-27 12:07:29 12:07:29 12:17:30 | subject: engn | work: 50m | rest: 10m
2026-05-27 12:17:38 12:17:38 12:17:39 | subject: engnkillme | work: design | rest: report
2026-05-27 12:17:51 12:17:51 12:17:51 | subject: engnkillme | work: design | rest: report
2026-05-27 12:17:55 12:34:49 12:56:53 | subject: engnkillmedesignreport | work: 50m | rest: 10m
2026-05-28 10:55:10 11:45:12 11:55:12 | subject: engn | work: 50m | rest: 10m
2026-05-28 12:24:11 13:14:13 13:24:13 | subject: engn | work: 50m | rest: 10m
2026-05-29 15:12:52 15:12:52 15:22:04 | subject: break | work: 50m | rest: 10m
2026-05-29 15:22:17 15:22:18 15:22:18 | subject: 25m | work: 5m | rest: 10m
